'84:D4:7e:99:cc:c6',55.3,35.4
'84:D4:7e:99:c7:e6',57.4,38.3
'84:D4:7e:99:ce:66',41.2,30.5
'84:D4:7e:99:cf:86',34.3,21.4
'84:D4:7e:99:cb:c6',34.3,9.5
'84:D4:7e:99:cc:e6',28.4,29.6
'84:D4:7e:99:99:86',22.1,39
'84:D4:7e:99:b3:86',25  ,50.4
'84:D4:7e:99:60:06',20.6,59.7
'84:D4:7e:99:b4:66',14  ,68.3
'84:D4:7e:99:b5:46',37.9,56.7
'84:D4:7e:99:a3:46',43  ,51.5
'84:D4:7e:99:d1:06',45.7,42
'84:D4:7e:99:d1:26',55.3,49
'40:e3:d6:76:3e:06',79.8,46.4
'84:D4:7e:99:cf:26',80  ,23.9
'84:D4:7e:99:c6:26',79.8,37.9
'84:D4:7e:99:cf:46',82  ,41.9
'84:D4:7e:99:d0:86',93.1,42
'84:D4:7e:9a:80:76',94.2,51.5
